rank,title,Previous Rank,Revenues (USDM),Revenue Change,Profits (USDM),Profit Change,Assets (USDM),Mkt Value as of 3/29/18 (USDM),Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State,Latitude,Longitude
105,Enterprise Products Partners,122,"USD29,242 ",27.00%,"USD2,799.30 ",11.40%,"USD54,418 ","USD52,904 ","7,000",A. James Teague,Chairman &amp;  Chief Executive Officer,Energy,Pipelines,13,Houston,TX,29.7604267,-95.3698028
106,Travelers Cos.,99,"USD28,902 ",4.60%,"USD2,056.00 ",-31.80%,"USD103,483 ","USD37,691 ","30,800",Alan D. Schnitzer,Chairman &amp;  Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),24,New York,NY,40.7127753,-74.0059728
107,Hewlett Packard Enterprise,59,"USD28,871 ",-42.40%,USD344.00 ,-89.10%,"USD61,406 ","USD27,243 ","66,000",Antonio Neri,"President, Chief Executive Officer &amp;  Director",Technology,"Computers, Office Equipment",2,Palo Alto,CA,37.4418834,-122.1430195
108,Philip Morris International,104,"USD28,748 ",7.70%,"USD6,035.00 ",-13.40%,"USD42,968 ","USD154,514 ","80,600",Andr� Calantzopoulos,Chairman &amp;  Chief Executive Officer,"Food, Beverages &amp;  Tobacco",Tobacco,10,New York,NY,40.7127753,-74.0059728
109,Twenty-First Century Fox,101,"USD28,500 ",4.30%,"USD2,952.00 ",7.20%,"USD50,724 ","USD67,969 ","21,700",James R. Murdoch,Chief Executive Officer &amp;  Director,Media,Entertainment,14,New York,NY,40.7127753,-74.0059728
110,AbbVie,111,"USD28,216 ",10.10%,"USD5,309.00 ",-10.80%,"USD70,786 ","USD150,180 ","29,000",Richard A. Gonzalez,Chairman &amp;  Chief Executive Officer,Health Care,Pharmaceuticals,5,North Chicago,IL,42.325578,-87.8411818
111,Abbott Laboratories,135,"USD27,390 ",31.30%,USD477.00 ,-65.90%,"USD76,250 ","USD104,640 ","99,000",Miles D. White,Chairman &amp;  Chief Executive Officer,Health Care,Medical Products and Equipment,24,Lake Bluff,IL,42.304505,-87.8960712
112,Progressive,120,"USD26,839 ",14.50%,"USD1,592.20 ",54.40%,"USD38,701 ","USD35,478 ","33,656",Susan Patricia Griffith,"President, Chief Executive Officer &amp;  Director",Financials,Insurance: Property and Casualty (Stock),24,Mayfield,OH,41.5519952,-81.4392828
113,Arrow Electronics,118,"USD26,813 ",12.50%,USD402.00 ,-23.10%,"USD16,463 ","USD6,750 ","18,800",Michael J. Long,"Chairman, President &amp;  Chief Executive Officer",Wholesalers,Wholesalers: Electronics and Office Equipment,24,Centennial,CO,39.5807452,-104.8771726
114,Kraft Heinz,106,"USD26,232 ",-1.00%,"USD10,999.00 ",202.80%,"USD120,232 ","USD75,920 ","39,000",Bernardo Hees,Chief Executive Officer,"Food, Beverages &amp;  Tobacco",Food Consumer Products,24,Pittsburgh,PA,40.4406248,-79.9958864
115,Plains GP Holdings,141,"USD26,223 ",29.90%,(USD731.00),-877.70%,"USD26,753 ","USD6,328 ","4,850",Greg L. Armstrong,Chairman &amp;  Chief Executive Officer,Energy,Pipelines,5,Houston,TX,29.7604267,-95.3698028
116,Gilead Sciences,92,"USD26,107 ",-14.10%,"USD4,628.00 ",-65.70%,"USD70,283 ","USD98,298 ","10,000",John F. Milligan IV,"President, Chief Executive Officer &amp;  Director",Health Care,Pharmaceuticals,10,San Mateo,CA,37.5585465,-122.2710788
117,Mondelez International,109,"USD25,896 ",-0.10%,"USD2,922.00 ",76.10%,"USD63,109 ","USD62,066 ","83,000",Dirk Van de Put,Chairman &amp;  Chief Executive Officer,"Food, Beverages &amp;  Tobacco",Food Consumer Products,11,Deerfield,IL,42.1711365,-87.8445119
118,Northrop Grumman,114,"USD25,803 ",5.30%,"USD2,015.00 ",-8.40%,"USD34,917 ","USD60,778 ","70,000",Wesley G. Bush,Chairman &amp;  Chief Executive Officer,Aerospace &amp;  Defense,Aerospace and Defense,24,Falls Church,VA,38.882334,-77.1710914
119,Raytheon,116,"USD25,348 ",5.30%,"USD2,024.00 ",-8.50%,"USD30,860 ","USD62,265 ","64,000",Thomas A. Kennedy,Chairman &amp;  Chief Executive Officer,Aerospace &amp;  Defense,Aerospace and Defense,24,Waltham,MA,42.3764852,-71.2356113
120,Macys,110,"USD24,837 ",-3.70%,"USD1,547.00 ",149.90%,"USD19,381 ","USD9,065 ","130,000",Jeffrey Gennette,Chairman &amp;  Chief Executive Officer,Retailing,General Merchandisers,24,Cincinnati,OH,39.1031182,-84.5120196
121,US Foods Holding,124,"USD24,147 ",5.40%,USD444.30 ,111.80%,"USD9,037 ","USD7,065 ","25,204",Pietro Satriano,"Chairman, President &amp;  Chief Executive Officer",Wholesalers,Wholesalers: Food and Grocery,7,Rosemont,IL,41.9867507,-87.8721602
122,U.S. Bancorp,125,"USD23,996 ",5.50%,"USD6,218.00 ",5.60%,"USD462,040 ","USD83,367 ","72,402",Andrew J. Cecere,"President, Chief Executive Officer &amp;  Director",Financials,Commercial Banks,20,Minneapolis,MN,44.977753,-93.2650108
123,Dollar General,128,"USD23,471 ",6.80%,"USD1,539.00 ",23.00%,"USD12,517 ","USD25,141 ","129,000",Todd J. Vasos,Chairman &amp;  Chief Executive Officer,Retailing,Specialty Retailers: Other,20,Goodlettsville,TN,36.3231066,-86.7133302
124,International Paper,133,"USD23,302 ",10.50%,"USD2,144.00 ",137.20%,"USD33,903 ","USD22,063 ","56,000",Mark S. Sutton,Chairman &amp;  Chief Executive Officer,Materials,"Packaging, Containers",24,Memphis,TN,35.1495343,-90.0489801
125,Duke Energy,121,"USD23,189 ",-0.80%,"USD3,059.00 ",42.10%,"USD137,914 ","USD54,276 ","29,060",Lynn J. Good,"Chairman, President &amp;  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,Charlotte,NC,35.2270869,-80.8431267
126,Southern,145,"USD23,031 ",15.80%,USD842.00 ,-65.60%,"USD111,005 ","USD45,024 ","31,344",Thomas A. Fanning,"Chairman, President &amp;  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,Atlanta,GA,33.7489954,-84.3879824
127,Marriott International,163,"USD22,894 ",34.10%,"USD1,372.00 ",75.90%,"USD23,948 ","USD48,531 ","177,000",Arne M. Sorenson,"President, Chief Executive Officer &amp;  Director","Hotels, Restaurants &amp;  Leisure","Hotels, Casinos, Resorts",20,Bethesda,MD,38.984652,-77.0947092
128,Avnet,108,"USD22,872 ",-12.80%,USD525.30 ,3.70%,"USD9,700 ","USD5,009 ","15,700",William J. Amelio,Chief Executive Officer &amp;  Director,Wholesalers,Wholesalers: Electronics and Office Equipment,24,Phoenix,AZ,33.4483771,-112.0740373
129,Eli Lilly,132,"USD22,871 ",7.80%,(USD204.10),-107.50%,"USD44,981 ","USD84,542 ","40,655",David A. Ricks,"Chairman, President &amp;  Chief Executive Officer",Health Care,Pharmaceuticals,24,Indianapolis,IN,39.768403,-86.158068
130,Amgen,123,"USD22,849 ",-0.60%,"USD1,979.00 ",-74.40%,"USD79,954 ","USD122,842 ","20,800",Robert A. Bradway,"Chairman, President &amp;  Chief Executive Officer",Health Care,Pharmaceuticals,19,Thousand Oaks,CA,34.1705609,-118.8375937
131,McDonalds,112,"USD22,820 ",-7.30%,"USD5,192.30 ",10.80%,"USD33,804 ","USD124,244 ","235,000",Stephen J. Easterbrook,"President, Chief Executive Officer &amp;  Director","Hotels, Restaurants &amp;  Leisure",Food Services,24,Oak Brook,IL,41.8397865,-87.9535534
132,Starbucks,131,"USD22,387 ",5.00%,"USD2,884.70 ",2.40%,"USD14,366 ","USD81,370 ","277,000",Keven R. Johnson,"President, Chief Executive Officer &amp;  Director","Hotels, Restaurants &amp;  Leisure",Food Services,16,Seattle,WA,47.6062095,-122.3320708
133,Qualcomm,119,"USD22,291 ",-5.40%,"USD2,466.00 ",-56.80%,"USD65,486 ","USD82,027 ","33,800",Steven M. Mollenkopf,Chairman &amp;  Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,19,San Diego,CA,32.715738,-117.1610838
134,Dollar Tree,136,"USD22,246 ",7.40%,"USD1,714.30 ",91.30%,"USD16,333 ","USD22,523 ","116,200",Gary M. Philbin,"President, Chief Executive Officer &amp;  Director",Retailing,Specialty Retailers: Other,10,Chesapeake,VA,36.7682088,-76.2874927
135,PBF Energy,172,"USD21,787 ",36.80%,USD415.50 ,143.30%,"USD8,118 ","USD3,752 ","3,165",Thomas J. Nimbley,Chairman &amp;  Chief Executive Officer,Energy,Petroleum Refining,6,Parsippany-Troy Hills,NJ,40.8652865,-74.4173877
136,Icahn Enterprises,168,"USD21,744 ",33.00%,"USD2,430.00 ",-,"USD31,801 ","USD9,901 ","89,034",Keith Cozza,"President, Chief Executive Officer &amp;  Director",Financials,Diversified Financials,10,New York,NY,40.7127753,-74.0059728
137,Aflac,126,"USD21,667 ",-4.00%,"USD4,604.00 ",73.10%,"USD137,217 ","USD34,038 ","11,318",Daniel P. Amos,"Chairman, President &amp;  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",24,Columbus,GA,32.4609764,-84.9877094
138,AutoNation,129,"USD21,535 ",-0.30%,USD434.60 ,1.00%,"USD10,272 ","USD4,296 ","26,000",Michael J. Jackson,"Chairman, President &amp;  Chief Executive Officer",Retailing,"Automotive Retailing, Services",21,Fort Lauderdale,FL,26.1224386,-80.1373174
139,Penske Automotive Group,142,"USD21,389 ",6.20%,USD613.30 ,78.90%,"USD10,541 ","USD3,817 ","26,000",Roger S. Penske,Chairman &amp;  Chief Executive Officer,Retailing,"Automotive Retailing, Services",20,Bloomfield Hills,MI,42.583645,-83.2454883
140,Whirlpool,137,"USD21,253 ",2.60%,USD350.00 ,-60.60%,"USD20,038 ","USD10,824 ","92,000",Marc R. Bitzer,"President, Chief Executive Officer &amp;  Director",Industrials,"Electronics, Electrical Equip.",24,Benton Harbor,MI,42.1167065,-86.4541894
141,Union Pacific,143,"USD21,240 ",6.50%,"USD10,712.00 ",153.10%,"USD57,806 ","USD104,261 ","41,992",Lance M. Fritz,"Chairman, President &amp;  Chief Executive Officer",Transportation,Railroads,24,Omaha,NE,41.2565369,-95.9345034
142,Southwest Airlines,138,"USD21,171 ",3.70%,"USD3,488.00 ",55.40%,"USD25,110 ","USD33,678 ","56,110",Gary C. Kelly,Chairman &amp;  Chief Executive Officer,Transportation,Airlines,24,Dallas,TX,32.7766642,-96.7969879
143,ManpowerGroup,146,"USD21,034 ",7.00%,USD545.40 ,22.90%,"USD8,884 ","USD7,614 ","29,000",Jonas Prising,Chairman &amp;  Chief Executive Officer,Business Services,Temporary Help,24,Milwaukee,WI,43.0389025,-87.9064736
144,Thermo Fisher Scientific,154,"USD20,918 ",14.50%,"USD2,225.00 ",10.10%,"USD56,669 ","USD82,952 ","66,100",Marc N. Casper,"President, Chief Executive Officer &amp;  Director",Technology,"Scientific,Photographic and  Control Equipment",16,Waltham,MA,42.3764852,-71.2356113
145,Bristol-Myers Squibb,147,"USD20,776 ",6.90%,"USD1,007.00 ",-77.40%,"USD33,551 ","USD103,415 ","23,700",Giovanni Caforio,Chairman &amp;  Chief Executive Officer,Health Care,Pharmaceuticals,24,New York,NY,40.7127753,-74.0059728
146,Halliburton,173,"USD20,620 ",29.80%,(USD463.00),-,"USD25,085 ","USD41,068 ","55,000",Jeffrey A. Miller,"President, Chief Executive Officer &amp;  Director",Energy,"Oil and Gas Equipment, Services",24,Houston,TX,29.7604267,-95.3698028
147,Tenet Healthcare,134,"USD20,613 ",-2.20%,(USD704.00),-,"USD23,385 ","USD2,452 ","111,980",Ronald A. Rittenmeyer,Chairman &amp;  Chief Executive Officer,Health Care,Health Care: Medical Facilities,24,Dallas,TX,32.7766642,-96.7969879
148,Lear,151,"USD20,467 ",10.30%,"USD1,313.40 ",34.70%,"USD11,946 ","USD12,453 ","165,000",Raymond E. Scott,"President, Chief Executive Officer &amp;  Director",Motor Vehicles &amp;  Parts,Motor Vehicles and Parts,24,Southfield,MI,42.4733688,-83.2218731
149,Cummins,159,"USD20,428 ",16.70%,USD999.00 ,-28.30%,"USD18,075 ","USD26,757 ","58,600",N. Thomas Linebarger,Chairman &amp;  Chief Executive Officer,Industrials,Industrial Machinery,24,Columbus,IN,39.2014404,-85.9213796
150,Micron Technology,226,"USD20,322 ",63.90%,"USD5,089.00 ",-,"USD35,336 ","USD60,470 ","34,100",Sanjay Mehrotra,"President, Chief Executive Officer &amp;  Director",Technology,Semiconductors and Other Electronic Components,21,Boise,ID,43.6150186,-116.2023137
151,Nucor,169,"USD20,252 ",25.00%,"USD1,318.70 ",65.60%,"USD15,841 ","USD19,432 ","25,100",John J. Ferriola,"Chairman, President &amp;  Chief Executive Officer",Materials,Metals,24,Charlotte,NC,35.2270869,-80.8431267
152,Molina Healthcare,156,"USD19,883 ",11.80%,(USD512.00),-1084.60%,"USD8,471 ","USD4,867 ","20,000",Joseph M. Zubretsky,"President, Chief Executive Officer &amp;  Director",Health Care,Health Care: Insurance and Managed Care,7,Long Beach,CA,33.7700504,-118.1937395
153,Fluor,149,"USD19,521 ",2.50%,USD191.40 ,-32.00%,"USD9,328 ","USD8,006 ","56,706",David T. Seaton,Chairman &amp;  Chief Executive Officer,Engineering &amp;  Construction,"Engineering, Construction",17,Irving,TX,32.8140177,-96.9488945
154,Altria Group,148,"USD19,494 ",0.80%,"USD10,222.00 ",-28.20%,"USD43,202 ","USD118,436 ","8,300",Howard A. Willard III,Chairman &amp;  Chief Executive Officer,"Food, Beverages &amp;  Tobacco",Tobacco,24,Richmond,VA,37.5407246,-77.4360481
155,Paccar,164,"USD19,456 ",14.20%,"USD1,675.20 ",221.10%,"USD23,440 ","USD23,298 ","25,000",Ronald E. Armstrong,Chairman &amp;  Chief Executive Officer,Industrials,Construction and Farm Machinery,24,Bellevue,WA,47.6101497,-122.2015159
156,Hartford Financial Services,153,"USD19,228 ",5.10%,"(USD3,131.00)",-449.40%,"USD225,260 ","USD18,392 ","16,400",Christopher J. Swift,Chairman &amp;  Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),23,Hartford,CT,41.7658043,-72.6733723
157,Kohls,150,"USD19,095 ",2.20%,USD859.00 ,54.50%,"USD13,340 ","USD11,021 ","85,000",Michelle D. Gass,Chairman &amp;  Chief Executive Officer,Retailing,General Merchandisers,21,Menomonee Falls,WI,43.1788967,-88.1173132
158,Western Digital,217,"USD19,093 ",46.90%,USD397.00 ,64.00%,"USD29,860 ","USD27,456 ","67,629",Stephen D. Milligan,Chairman &amp;  Chief Executive Officer,Technology,"Computers, Office Equipment",15,San Jose,CA,37.3382082,-121.8863286
159,Jabil,152,"USD19,063.10 ",3.90%,USD129.10 ,-49.20%,"USD11,096 ","USD5,035 ",170000,Mark T. Mondello,Chairman &amp;  Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,17,St. Petersburg,FL,27.7676008,-82.6402915
160,Community Health Systems,130,"USD18,477 ",-13.60%,"(USD2,459.00)",-,"USD17,450 ",USD454 ,"86,000",Wayne T. Smith,Chairman &amp;  Chief Executive Officer,Health Care,Health Care: Medical Facilities,12,Franklin,TN,35.9250637,-86.8688899
161,Visa,187,"USD18,358 ",21.70%,"USD6,699.00 ",11.80%,"USD67,977 ","USD270,222 ","15,000",Alfred F. Kelly Jr.,Chairman &amp;  Chief Executive Officer,Business Services,Financial Data Services,10,SF,CA,37.7749295,-122.4194155
162,Danaher,144,"USD18,330 ",-7.90%,"USD2,492.10 ",-2.40%,"USD46,649 ","USD68,385 ","67,000",Thomas P. Joyce Jr.,"President, Chief Executive Officer &amp;  Director",Health Care,Medical Products and Equipment,20,Leavenworth,WA,47.7510741,-120.7401385
163,Kimberly-Clark,155,"USD18,259 ",0.30%,"USD2,278.00 ",5.20%,"USD15,151 ","USD38,553 ","42,000",Thomas J. Falk,Chairman &amp;  Chief Executive Officer,Household Products,Household and Personal Products,24,Irving,TX,32.8140177,-96.9488945
164,AECOM,161,"USD18,203 ",4.60%,USD339.40 ,253.10%,"USD14,397 ","USD5,671 ","87,000",Michael S. Burke,Chairman &amp;  Chief Executive Officer,Engineering &amp;  Construction,"Engineering, Construction",10,Los Angeles,CA,34.0522342,-118.2436849
165,PNC Financial Services,166,"USD18,035 ",9.80%,"USD5,338.00 ",36.80%,"USD380,768 ","USD71,323 ","51,632",William S. Demchak,"Chairman, President &amp;  Chief Executive Officer",Financials,Commercial Banks,24,Pittsburgh,PA,40.4406248,-79.9958864
166,CenturyLink,160,"USD17,656 ",1.10%,"USD1,389.00 ",121.90%,"USD75,611 ","USD17,578 ","51,000",Jeffrey K. Storey,"President, Chief Executive Officer &amp;  Director",Telecommunications,Telecommunications,9,Monroe,LA,32.5093109,-92.1193012
167,NextEra Energy,170,"USD17,195 ",6.40%,"USD5,378.00 ",84.70%,"USD97,827 ","USD76,895 ","14,000",James L. Robo,"Chairman, President &amp;  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,North Palm Beach,FL,26.8797819,-80.0533743
168,PG&amp; E Corp.,157,"USD17,135 ",-3.00%,"USD1,646.00 ",18.20%,"USD68,012 ","USD22,664 ","23,000",Geisha J. Williams,"President, Chief Executive Officer &amp;  Director",Energy,Utilities: Gas and Electric,24,SF,CA,37.7749295,-122.4194155
169,Synnex,198,"USD17,046 ",21.20%,USD301.20 ,28.20%,"USD7,699 ","USD4,702 ","113,600",Dennis Polk,"President, Chief Executive Officer &amp;  Director",Wholesalers,Wholesalers: Electronics and Office Equipment,12,Fremont,CA,37.5482697,-121.9885719
170,WellCare Health Plans,195,"USD17,007 ",19.50%,USD373.70 ,54.40%,"USD8,365 ","USD8,622 ","8,900",Kenneth A. Burdick,Chairman &amp;  Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,10,Tampa,FL,27.950575,-82.4571776
171,Performance Food Group,171,"USD16,762 ",4.10%,USD96.30 ,41.00%,"USD3,804 ","USD3,104 ","14,000",George L. Holm,"President, Chief Executive Officer &amp;  Director",Wholesalers,Wholesalers: Food and Grocery,10,Richmond,VA,37.5407246,-77.4360481
172,Sears Holdings,127,"USD16,702 ",-24.60%,(USD383.00),-,"USD7,262 ",USD288 ,"89,000",Edward S. Lampert,Chairman &amp;  Chief Executive Officer,Retailing,General Merchandisers,24,Hoffman Estates,IL,42.0629915,-88.1227199
173,Synchrony Financial,185,"USD16,695 ",10.40%,"USD1,935.00 ",-14.00%,"USD95,808 ","USD25,490 ","16,000",Margaret M. Keane,"President, Chief Executive Officer &amp;  Director",Financials,Diversified Financials,2,Stamford,CT,41.0534302,-73.5387341
174,CarMax,174,"USD16,637 ",5.10%,USD627.00 ,0.60%,"USD16,279 ","USD11,202 ","24,344",William D. Nash,"President, Chief Executive Officer &amp;  Director",Retailing,"Automotive Retailing, Services",15,Richmond,VA,37.5407246,-77.4360481
175,Bank of New York Mellon,177,"USD16,621 ",6.00%,"USD4,090.00 ",15.30%,"USD371,758 ","USD51,919 ",52500,Charles W. Scharf,Chairman &amp;  Chief Executive Officer,Financials,Commercial Banks,24,New York City,NY,40.7127753,-74.0059728
176,Freeport-McMoRan,175,"USD16,416 ",4.00%,"USD1,817.00 ",-,"USD37,302 ","USD25,439 ","25,200",Richard C. Adkerson,"Vice Chairman, President &amp;  Chief Executive Officer",Energy,"Mining, Crude-Oil Production",13,Phoenix,AZ,33.4483771,-112.0740373
177,Genuine Parts,180,"USD16,309 ",6.30%,USD616.80 ,-10.30%,"USD12,412 ","USD13,183 ","48,000",Paul D. Donahue,"President, Chief Executive Officer &amp;  Director",Wholesalers,Wholesalers: Diversified,24,Atlanta,GA,33.7489954,-84.3879824
178,Emerson Electric,139,"USD16,301 ",-19.60%,"USD1,518.00 ",-7.20%,"USD19,589 ","USD43,359 ","76,500",David N. Farr,Chairman &amp;  Chief Executive Officer,Industrials,Industrial Machinery,24,St. Louis,MO,38.6270025,-90.1994042
179,DaVita,181,"USD16,038 ",5.50%,USD663.60 ,-24.60%,"USD18,948 ","USD12,001 ","74,500",Kent J. Thiry,Chairman &amp;  Chief Executive Officer,Health Care,Health Care: Medical Facilities,12,Denver,CO,39.7392358,-104.990251
180,Supervalu,158,"USD16,009 ",-8.70%,USD650.00 ,265.20%,"USD3,580 ",USD585 ,"29,000",Mark Gross,"President, Chief Executive Officer &amp;  Director",Food &amp;  Drug Stores,Food and Drug Stores,24,Eden Prairie,MN,44.8546856,-93.470786
181,Gap,178,"USD15,855 ",2.20%,USD848.00 ,25.40%,"USD7,989 ","USD12,147 ","135,000",Arthur L. Peck,"President, Chief Executive Officer &amp;  Director",Retailing,Specialty Retailers: Apparel,24,SF,CA,37.7749295,-122.4194155
182,General Mills,165,"USD15,620 ",-5.70%,"USD1,657.50 ",-2.40%,"USD21,813 ","USD26,716 ","38,000",Jeffrey L. Harmening,Chairman &amp;  Chief Executive Officer,"Food, Beverages &amp;  Tobacco",Food Consumer Products,24,Minneapolis,MN,44.977753,-93.2650108
183,Nordstrom,188,"USD15,478 ",4.90%,USD437.00 ,23.40%,"USD8,115 ","USD8,123 ","76,000",Blake W. Nordstrom,Co-President &amp;  Director,Retailing,General Merchandisers,24,Seattle,WA,47.6062095,-122.3320708
184,Colgate-Palmolive,182,"USD15,454 ",1.70%,"USD2,024.00 ",-17.10%,"USD12,676 ","USD62,607 ","35,900",Ian M. Cook,"Chairman, President &amp;  Chief Executive Officer",Household Products,Household and Personal Products,24,New York,NY,40.7127753,-74.0059728
185,American Electric Power,167,"USD15,425 ",-5.80%,"USD1,912.60 ",213.10%,"USD64,729 ","USD33,766 ","17,666",Nicholas K. Akins,"Chairman, President &amp;  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,Columbus,OH,39.9611755,-82.9987942
186,XPO Logistics,191,"USD15,381 ",5.20%,USD340.20 ,393.00%,"USD12,602 ","USD12,210 ","95,000",Bradley S. Jacobs,Chairman &amp;  Chief Executive Officer,Transportation,Transportation and Logistics,3,Greenwich,CT,41.0262417,-73.6281964
187,Goodyear Tire &amp; Rubber,184,"USD15,377 ",1.40%,USD346.00 ,-72.60%,"USD17,064 ","USD6,392 ","64,000",Richard J. Kramer,"Chairman, President &amp;  Chief Executive Officer",Motor Vehicles &amp;  Parts,Motor Vehicles and Parts,24,Akron,OH,41.0814447,-81.5190053
188,Omnicom Group,179,"USD15,274 ",-0.90%,"USD1,088.40 ",-5.20%,"USD24,931 ","USD16,734 ","77,300",John D. Wren,"President, Chief Executive Officer &amp;  Director",Business Services,"Advertising, marketing",22,New York,NY,40.7127753,-74.0059728
